iter	Passed	Remaining
0	134	134094
1	136	67933
2	137	45853
3	139	34835
4	141	28197
5	143	23764
6	145	20610
7	148	18413
8	150	16584
9	152	15085
10	154	13863
11	155	12836
12	157	11970
13	159	11233
14	161	10598
15	163	10050
16	165	9581
17	168	9180
18	170	8785
19	171	8425
20	173	8098
21	175	7806
22	177	7533
23	179	7285
24	180	7053
25	183	6868
26	185	6691
27	187	6505
28	189	6343
29	191	6197
30	193	6059
31	196	5934
32	197	5801
33	199	5676
34	201	5560
35	205	5515
36	207	5412
37	209	5307
38	211	5208
39	213	5125
40	217	5076
41	218	4987
42	222	4946
43	224	4888
44	226	4811
45	228	4738
46	230	4665
47	231	4597
48	233	4534
49	235	4471
50	236	4409
51	238	4355
52	240	4297
53	242	4243
54	243	4189
55	245	4135
56	246	4085
57	248	4035
58	250	3988
59	251	3942
60	253	3897
61	254	3856
62	256	3814
63	258	3773
64	259	3733
65	261	3699
66	263	3664
67	265	3632
68	266	3599
69	268	3564
70	270	3534
71	271	3502
72	273	3471
73	275	3443
74	276	3415
75	278	3387
76	280	3361
77	282	3334
78	283	3309
79	285	3283
80	287	3257
81	288	3234
82	290	3210
83	292	3186
84	293	3164
85	295	3141
86	297	3122
87	299	3103
88	301	3082
89	302	3061
90	304	3041
91	306	3021
92	307	3001
93	309	2980
94	310	2960
95	312	2940
96	313	2923
97	315	2903
98	316	2884
99	318	2865
100	320	2848
101	321	2832
102	323	2815
103	324	2799
104	326	2783
105	328	2766
106	329	2750
107	331	2737
108	333	2727
109	335	2713
110	336	2699
111	338	2684
112	340	2669
113	341	2655
114	343	2640
115	344	2625
116	345	2610
117	347	2596
118	348	2582
119	350	2569
120	352	2557
121	353	2544
122	355	2534
123	357	2523
124	358	2511
125	360	2499
126	361	2487
127	363	2478
128	365	2467
129	366	2455
130	368	2445
131	370	2435
132	371	2423
133	373	2412
134	374	2401
135	376	2391
136	378	2381
137	379	2371
138	381	2360
139	382	2351
140	384	2342
141	385	2332
142	387	2323
143	389	2313
144	390	2303
145	392	2294
146	393	2284
147	395	2274
148	396	2264
149	397	2255
150	399	2245
151	400	2236
152	402	2227
153	403	2217
154	405	2208
155	406	2201
156	408	2192
157	409	2183
158	411	2174
159	412	2166
160	413	2157
161	415	2148
162	416	2140
163	418	2132
164	419	2124
165	421	2117
166	422	2109
167	424	2102
168	426	2095
169	427	2087
170	429	2080
171	430	2073
172	432	2066
173	433	2058
174	435	2051
175	436	2044
176	438	2037
177	439	2029
178	440	2022
179	442	2015
180	444	2009
181	445	2002
182	447	1995
183	448	1989
184	450	1982
185	451	1976
186	453	1969
187	454	1963
188	455	1956
189	457	1950
190	458	1943
191	460	1937
192	462	1932
193	463	1926
194	465	1920
195	466	1914
196	468	1908
197	469	1902
198	471	1896
199	473	1893
200	475	1888
201	476	1883
202	478	1877
203	480	1873
204	481	1868
205	483	1864
206	485	1858
207	486	1853
208	488	1847
209	489	1841
210	490	1835
211	492	1830
212	493	1824
213	495	1819
214	497	1814
215	499	1811
216	500	1806
217	502	1802
218	503	1796
219	505	1792
220	507	1787
221	508	1783
222	510	1778
223	512	1774
224	513	1769
225	515	1765
226	517	1761
227	518	1757
228	520	1752
229	522	1750
230	524	1746
231	526	1742
232	528	1738
233	529	1734
234	531	1731
235	533	1727
236	535	1723
237	537	1720
238	538	1716
239	540	1712
240	542	1708
241	544	1704
242	545	1700
243	547	1695
244	548	1691
245	550	1686
246	551	1682
247	553	1678
248	555	1674
249	556	1670
250	558	1665
251	559	1661
252	561	1656
253	562	1652
254	564	1648
255	565	1643
256	567	1639
257	568	1635
258	570	1630
259	571	1626
260	573	1622
261	574	1618
262	576	1614
263	577	1610
264	579	1606
265	580	1602
266	582	1598
267	583	1594
268	585	1590
269	586	1586
270	588	1582
271	589	1578
272	591	1573
273	592	1570
274	594	1566
275	595	1562
276	597	1558
277	598	1554
278	599	1550
279	601	1546
280	602	1542
281	604	1538
282	605	1534
283	607	1530
284	608	1527
285	610	1523
286	611	1519
287	613	1516
288	614	1512
289	616	1508
290	617	1505
291	619	1501
292	620	1497
293	622	1493
294	623	1490
295	625	1486
296	626	1483
297	628	1479
298	629	1476
299	631	1472
300	632	1469
301	634	1465
302	635	1461
303	636	1458
304	638	1454
305	639	1451
306	641	1447
307	642	1444
308	644	1441
309	645	1437
310	647	1435
311	649	1432
312	651	1429
313	652	1426
314	654	1423
315	656	1420
316	657	1416
317	659	1413
318	660	1410
319	662	1406
320	663	1403
321	665	1400
322	666	1397
323	668	1394
324	669	1391
325	671	1388
326	672	1385
327	674	1381
328	675	1378
329	677	1375
330	678	1372
331	680	1368
332	681	1365
333	683	1362
334	684	1359
335	686	1356
336	688	1353
337	689	1350
338	691	1347
339	692	1344
340	694	1341
341	695	1338
342	697	1335
343	698	1332
344	700	1329
345	701	1326
346	703	1322
347	704	1320
348	706	1317
349	708	1315
350	709	1312
351	711	1309
352	713	1307
353	715	1305
354	716	1302
355	718	1299
356	719	1296
357	721	1293
358	723	1291
359	724	1288
360	726	1285
361	727	1282
362	729	1279
363	730	1276
364	732	1273
365	733	1270
366	734	1267
367	736	1264
368	737	1261
369	739	1259
370	740	1256
371	742	1253
372	744	1250
373	745	1248
374	747	1245
375	748	1242
376	749	1239
377	751	1236
378	752	1233
379	754	1230
380	755	1227
381	757	1225
382	758	1222
383	760	1219
384	761	1217
385	763	1214
386	764	1211
387	766	1208
388	767	1206
389	769	1203
390	770	1200
391	772	1197
392	773	1195
393	775	1192
394	776	1189
395	778	1186
396	779	1184
397	781	1181
398	782	1178
399	784	1176
400	785	1173
401	787	1171
402	788	1168
403	790	1165
404	791	1163
405	793	1160
406	794	1157
407	796	1155
408	797	1152
409	799	1150
410	801	1148
411	802	1145
412	804	1143
413	805	1140
414	807	1138
415	808	1135
416	810	1133
417	812	1130
418	813	1128
419	815	1125
420	816	1123
421	818	1120
422	819	1118
423	821	1116
424	823	1113
425	825	1111
426	827	1109
427	828	1107
428	830	1105
429	832	1103
430	834	1101
431	836	1099
432	837	1096
433	839	1094
434	840	1091
435	842	1089
436	843	1086
437	845	1084
438	846	1081
439	848	1079
440	849	1076
441	851	1074
442	852	1072
443	854	1069
444	855	1067
445	857	1065
446	858	1062
447	860	1060
448	861	1057
449	863	1055
450	864	1052
451	866	1050
452	867	1047
453	869	1045
454	870	1043
455	872	1040
456	873	1038
457	875	1035
458	876	1033
459	878	1031
460	879	1028
461	881	1026
462	883	1024
463	885	1022
464	886	1020
465	888	1017
466	889	1015
467	891	1013
468	893	1011
469	894	1008
470	896	1006
471	897	1003
472	899	1001
473	900	999
474	902	997
475	903	994
476	905	992
477	906	990
478	908	987
479	909	985
480	911	983
481	912	980
482	914	978
483	915	976
484	917	974
485	918	971
486	920	969
487	921	967
488	923	964
489	924	962
490	926	960
491	927	958
492	929	956
493	931	954
494	933	952
495	934	949
496	936	947
497	938	945
498	939	943
499	941	941
500	943	939
501	945	937
502	946	935
503	948	933
504	950	931
505	952	929
506	954	927
507	955	925
508	957	923
509	959	921
510	961	919
511	963	917
512	965	916
513	967	914
514	968	912
515	970	910
516	971	907
517	973	905
518	974	903
519	976	901
520	977	899
521	979	896
522	980	894
523	982	892
524	983	890
525	985	887
526	986	885
527	988	883
528	989	881
529	991	879
530	992	876
531	994	874
532	995	872
533	997	870
534	999	868
535	1000	866
536	1002	864
537	1004	862
538	1006	860
539	1007	858
540	1009	856
541	1011	854
542	1013	852
543	1014	850
544	1016	848
545	1018	846
546	1020	844
547	1021	842
548	1023	841
549	1026	839
550	1028	837
551	1030	836
552	1032	834
553	1034	832
554	1035	830
555	1037	828
556	1039	826
557	1040	824
558	1042	822
559	1044	820
560	1045	818
561	1047	816
562	1050	815
563	1052	813
